name,month,blocked_min,eligible_min,span_min,episodes,blocked_pct,eligible_days,usable_for_trend
Market Street,2023-11,2636.6799997333333,43200.0,43200.0,954,6.103425925308642,30.0,True
Market Street,2023-12,1504.7699997833333,44640.0,44640.0,809,3.370900537149044,31.0,True
Market Street,2024-01,4384.949999933333,44640.0,44640.0,572,9.822916666517322,31.0,True
Market Street,2024-02,2752.9599997833334,41760.0,41760.0,756,6.592337164232121,29.0,True
Market Street,2024-03,4608.379999816667,44640.0,44640.0,602,10.323431899230885,31.0,True
Market Street,2024-04,4451.81999985,43200.0,43200.0,640,10.305138888541668,30.0,True
Market Street,2024-05,6834.97999995,44640.0,44640.0,391,15.31133512533602,31.0,True
Market Street,2024-06,7266.739999883333,43200.0,43200.0,383,16.821157407137346,30.0,True
Market Street,2024-07,6566.03999965,39666.95,44640.0,739,16.552923780754508,27.546493055555555,True
Market Street,2024-08,7373.3899998,44640.0,44640.0,467,16.51745071639785,31.0,True
Market Street,2024-09,5777.479999916666,43200.0,43200.0,473,13.373796296103395,30.0,True
Market Street,2024-10,4860.06999985,44640.0,44640.0,461,10.88725358389337,31.0,True
Market Street,2024-11,5189.0599999333335,43200.0,43200.0,444,12.011712962808643,30.0,True
Market Street,2024-12,5649.6799998,44640.0,44640.0,501,12.656093189516127,31.0,True
Market Street,2025-01,5263.919999816667,44640.0,44640.0,466,11.791935483460275,31.0,True
Market Street,2025-02,5117.7599998333335,40320.0,40320.0,469,12.692857142443783,28.0,True
Market Street,2025-03,6315.62999975,44640.0,44640.0,515,14.147916666106632,31.0,True
Market Street,2025-04,5708.579999816667,43200.0,43200.0,523,13.214305555131173,30.0,True
Market Street,2025-05,6590.909999883333,44640.0,44640.0,545,14.76458333307198,31.0,True
Market Street,2025-06,6143.589999833333,43200.0,43200.0,426,14.221273147762345,30.0,True
Market Street,2025-07,6072.389999866667,44640.0,44640.0,457,13.6030241932497,31.0,True
Market Street,2025-08,6044.909999833333,44640.0,44640.0,468,13.541465053390082,31.0,True
Market Street,2025-09,4694.699999866667,43200.0,43200.0,409,10.86736111080247,30.0,True
Market Street,2025-10,4900.9199997999995,44640.0,44640.0,458,10.978763440412186,31.0,True
Market Street,2025-11,5037.4199999,43200.0,43200.0,430,11.660694444212965,30.0,True
Market Street,2025-12,4388.929999866667,44640.0,44640.0,426,9.8318324369773,31.0,True
Market Street,2026-01,4872.609999866667,44640.0,44640.0,445,10.915344981780168,31.0,True
Market Street,2026-02,4403.629999883334,40320.0,40320.0,403,10.921701388599539,28.0,True
Market Street,2026-03,5757.889999816667,44640.0,44640.0,457,12.89849910353196,31.0,True
Market Street,2026-04,2597.1999999166665,23333.35,23333.35,224,11.130849191893434,16.20371527777778,True
Polk Street,2022-11,120.31999998333332,23214.15,30801.0,344,0.5183045684779899,16.1209375,True
Polk Street,2022-12,202.19999993333334,44640.0,44640.0,760,0.45295698909796894,31.0,True
Polk Street,2023-01,235.64999995000002,44640.0,44640.0,842,0.5278897848342294,31.0,True
Polk Street,2023-02,117.31999996666667,7139.21,40320.0,104,1.6433190782546903,4.957784722222223,False
Polk Street,2023-03,4554.7299999,44640.0,44640.0,464,10.20324820766129,31.0,True
Polk Street,2023-04,3494.239999933333,43200.0,43200.0,504,8.088518518364197,30.0,True
Polk Street,2023-05,3820.8499999166665,44640.0,44640.0,450,8.559251791928016,31.0,True
Polk Street,2023-06,3327.319999916667,43200.0,43200.0,452,7.702129629436729,30.0,True
Polk Street,2023-07,2774.73,44640.0,44640.0,291,6.215793010752688,31.0,True
Polk Street,2023-08,2733.2699999833335,44640.0,44640.0,242,6.122916666629331,31.0,True
Polk Street,2023-09,2723.1099999333333,43200.0,43200.0,301,6.303495370216049,30.0,True
Polk Street,2023-10,5259.2499996999995,44640.0,44640.0,395,11.781474013664875,31.0,True
Polk Street,2023-11,4318.80999995,43200.0,43200.0,324,9.99724537025463,30.0,True
Polk Street,2023-12,4781.76999995,44640.0,44640.0,351,10.711850358310933,31.0,True
Polk Street,2024-01,3716.4899998666665,40855.35,44640.0,304,9.096703368999817,28.371770833333333,True
Polk Street,2024-02,5225.449999933333,41760.0,41760.0,331,12.513050766123882,29.0,True
Polk Street,2024-03,5218.189999883333,44640.0,44640.0,372,11.689493727337217,31.0,True
Polk Street,2024-04,3950.03999995,43200.0,43200.0,392,9.143611110995371,30.0,True
